Sl. No,Player,Team,From,Runs,Balls,Strike Rate,Wickets,Balls Bowled,Runs Conceded,Economy,Ct_St,Run Outs,Matches Played,Age
182,Robin Uthappa ,RCB,IND,175,170,102.9411765,0,0,0,#DIV/0!,8,1.5,15,23
183,Rohan Banerjee ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,20
184,Rohan Raje ,MI,IND,12,9,133.3333333,1,41,72,10.53658537,2,0,4,22
185,Rohit Sharma ,DC,IND,326,283,115.1943463,11,138,161,7,5,1,16,22
186,Ross Taylor ,RCB,NZ,280,208,134.6153846,0,6,13,13,3,0,11,25
187,RP Singh ,DC,IND,8,17,47.05882353,23,358,417,6.988826816,7,0.5,16,23
188,Ryan Harris ,DC,AUS,21,18,116.6666667,6,186,231,7.451612903,5,0,8,29
189,Ryan McLaren ,MI,SA,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,26
190,Ryan Ninan ,KXI,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,23
191,S Anirudha ,CSK,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,22
192,S Aravind ,RCB,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,25
193,S Asnodkar ,RR,IND,98,93,105.3763441,0,0,0,#DIV/0!,1,0.5,8,25
194,S Badrinath ,CSK,IND,177,164,107.9268293,0,0,0,#DIV/0!,5,0,14,28
195,S Bandekar ,RCB,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,21
196,S Fleming ,CSK,NZ,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,36
197,S Gaekwad ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,25
198,S Goswami ,RCB,IND,53,60,88.33333333,0,0,0,#DIV/0!,1,0,2,20
199,Sachin Rana ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,24
200,Sachin Tendulkar,MI,IND,364,303,120.1320132,0,36,58,9.666666667,6,1,13,36
201,Sahil Kukreja ,KXI,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,23
202,Sanath Jayasuriya ,MI,SL,221,192,115.1041667,7,114,163,8.578947368,2,0.5,12,39
203,Sanjay Bangar ,KKR,IND,2,9,22.22222222,0,0,0,#DIV/0!,0,0,1,36
204,Sanjib Sanyal ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,31
205,Saurabh Tiwary ,MI,IND,13,12,108.3333333,0,0,0,#DIV/0!,0,0,4,19
206,Saurasish Lahiri ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,27
207,Scott Styris ,DC,NZ,14,8,175,5,48,64,8,0,0,2,33
208,Shadab Jakati ,CSK,IND,20,15,133.3333333,13,174,217,7.482758621,3,0,9,28
209,Shane Harwood ,RR,AUS,9,14,64.28571429,3,60,73,7.3,2,0,3,35
210,Shane Warne,RR,AUS,108,116,93.10344828,14,300,365,7.3,6,0.5,13,39
211,Shane Watson ,RR,AUS,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,27
212,Shaun Marsh ,KXI,AUS,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,25
213,Sheldon Jackson ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,22
214,Shikhar Dhawan ,MI,IND,40,45,88.88888889,0,0,0,#DIV/0!,2,0,5,23
215,Shoaib Ahmed ,DC,IND,1,6,16.66666667,5,102,152,8.941176471,4,0,8,21
216,Siddharth Chitnis ,RR,IND,6,8,75,0,0,0,#DIV/0!,0,0,1,22
217,Siddharth Trivedi ,RR,IND,9,18,50,6,120,152,7.6,2,0,7,26
218,Simon Katich ,KXI,AUS,145,117,123.9316239,0,0,0,#DIV/0!,2,1,9,33
219,Sourav Ganguly ,KKR,IND,189,207,91.30434783,2,72,97,8.083333333,3,0,13,36
220,Sourav Sarkar ,KKR,IND,0,0,#DIV/0!,1,25,34,8.16,0,0,2,24
221,Sreesanth ,KXI,IND,5,18,27.77777778,6,138,192,8.347826087,0,0,7,26
222,Srideep Mangela ,RR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,20
223,SS Shaikh,KKR,,6,7,85.71428571,0,0,0,#DIV/0!,2,0,2,
224,Sudeep Tyagi ,CSK,IND,0,0,#DIV/0!,5,114,136,7.157894737,1,0,8,21
