Sl no,Player Name,Team,From,Runs,Balls,Four,Six,Highest Run Scored,Strike Rate,Balls Bowled,Runs Conceded,Economy,Wickets,ct_st,Run Outs,Matches Played,Age
127,Parthiv Patel ,CSK,IND,72,79,6,2,57,91.13924051,0,0,#DIV/0!,0,2,0,4,25
128,Paul Collingwood,DD,IND,203,156,9,13,75,130.1282051,89,101,6.808988764,5,4,0,8,33
129,Piyush Chawla,KXI,IND,62,60,7,0,22,103.3333333,294,367,7.489795918,12,3,2,14,21
130,Pradeep Sangwan,DD,IND,10,14,0,0,6,71.42857143,186,258,8.322580645,9,1,0,8,19
131,Pragyan Ojha,DC,IND,3,8,0,0,2,37.5,353,429,7.291784703,21,4,0,16,23
132,Praveen Kumar,RCB,IND,4,8,0,0,3,50,270,380,8.444444444,10,1,0,12,23
133,Rahul Dravid,RCB,IND,256,199,34,3,52,128.6432161,0,0,#DIV/0!,0,4,1.5,16,37
134,Rahul Sharma,DC,IND,29,26,3,1,14,111.5384615,124,167,8.080645161,5,1,0.5,6,23
135,Rahul Shukla,MI,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,19
136,Rajagopal Sathish,MI,IND,112,96,11,0,24,116.6666667,48,81,10.125,2,3,2,12,31
137,Rajat Bhatia,DD,IND,24,17,1,2,21,141.1764706,96,132,8.25,3,1,0.5,5,30
138,Ramesh Powar,KXI,IND,5,8,0,0,3,62.5,138,160,6.956521739,3,0,0,7,32
139,Ravi Bopara,KXI,ENG,248,214,25,3,77,115.8878505,78,127,9.769230769,5,4,0,10,25
140,Ravichandran Ashwin,CSK,IND,30,40,2,0,11,75,288,293,6.104166667,13,1,0.5,12,23
141,Reetinder Sodhi,KXI,IND,4,2,1,0,4,200,0,0,#DIV/0!,0,2,0,3,29
142,Robin Uthappa,RCB,IND,376,218,20,28,68,172.4770642,0,0,#DIV/0!,0,10,3.5,16,24
143,Roelof van der Merwe,RCB,SA,1,2,0,0,1,50,24,27,6.75,2,1,0,1,25
144,Rohan Gavaskar,KKR,IND,2,8,0,0,2,25,6,8,8,0,0,0,2,34
145,Rohit Sharma,DC,IND,404,302,36,14,73,133.7748344,114,153,8.052631579,2,9,0.5,16,23
146,Ross Taylor,RCB,NZ,88,75,2,6,31,117.3333333,0,0,#DIV/0!,0,4,0,7,26
147,RP Singh,DC,IND,9,19,0,0,4,47.36842105,252,370,8.80952381,13,4,2.5,12,24
148,Ryan Harris,DC,AUS,45,39,2,2,15,115.3846154,184,233,7.597826087,14,5,0,8,30
149,Ryan McLaren,MI,AUS,66,69,7,0,40,95.65217391,204,270,7.941176471,4,2,1,10,27
150,S Anirudha,CSK,IND,30,18,2,2,24,166.6666667,0,0,#DIV/0!,0,3,0,4,23
151,S Binny,MI,,8,5,1,0,8,160,6,9,9,0,0,0,1,
152,S Watson,RR,AUS,185,114,18,9,60,162.2807018,132,184,8.363636364,6,3,0,6,28
153,Sachin Tendulkar ,MI,IND,618,465,86,3,89,132.9032258,0,0,#DIV/0!,0,3,0,15,37
154,Sanath Jayasuriya,MI,SL,33,31,4,1,23,106.4516129,54,68,7.555555556,2,0,0.5,4,40
155,Sarabjit Ladda,DD,IND,0,9,1,1,0,0,90,143,9.533333333,4,0,0.5,5,23
156,Sarandeep Singh,DD,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,30
157,Saurabh Tiwary,MI,IND,419,309,29,18,61,135.5987055,0,0,#DIV/0!,0,3,0.5,16,20
158,SE Bond,KKR,NZ,1,2,0,0,1,50,186,224,7.225806452,9,1,0,8,35
159,Shadab Jakati,CSK,IND,0,0,0,0,0,#DIV/0!,228,291,7.657894737,13,1,1,11,29
160,Shalabh Srivastava,KXI,IND,1,2,0,0,1,50,162,255,9.444444444,6,1,0,8,28
161,Shane Warne ,RR,AUS,11,20,0,0,4,55,300,381,7.62,11,2,0.5,14,40
162,Shaun Marsh,KXI,AUS,147,114,14,6,88,128.9473684,0,0,#DIV/0!,0,1,0,4,26
163,Shaun Tait,RR,AUS,12,13,0,1,11,92.30769231,187,264,8.470588235,10,2,0,8,27
164,Shikhar Dhawan,MI,IND,191,170,23,3,56,112.3529412,0,0,#DIV/0!,0,5,0,10,24
165,Shreevats Goswami ,RCB,IND,8,10,2,0,8,80,0,0,#DIV/0!,0,0,0,1,21
166,Shrikant Wagh,RR,IND,0,0,0,0,0,#DIV/0!,6,16,16,1,0,0,1,21
167,Siddharth Trivedi,RR,IND,20,14,3,1,9,142.8571429,209,260,7.464114833,11,1,1,11,27
168,Sourav Ganguly ,KKR,IND,493,419,58,15,88,117.6610979,24,43,10.75,0,7,1,14,37
169,Sreesanth,KXI,IND,27,21,5,0,15,128.5714286,114,191,10.05263158,3,0,0,6,27
170,Sridharan Sriram,RCB,IND,27,29,3,0,27,93.10344828,12,24,12,0,0,0,1,34
171,Steven Smith,RCB,WI,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,21
172,Subramaniam Badrinath,CSK,IND,356,304,41,6,55,117.1052632,0,0,#DIV/0!,0,1,1.5,16,29
173,Sudeep Tyagi,CSK,IND,3,4,0,0,3,75,95,159,10.04210526,1,2,0,6,22
174,Sumit Narwal,RR,IND,14,12,2,0,12,116.6666667,94,185,11.80851064,5,1,1,5,28
175,Suresh Raina,CSK,IND,524,365,46,22,83,143.5616438,143,178,7.468531469,6,10,2,16,23
176,Swapnil Asnodkar,RR,AIND,5,4,1,0,5,125,0,0,#DIV/0!,0,0,0,2,26
177,Syed Quadri,RR,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,28
178,Syed Sahabuddin,MI,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,29
179,Tanmay Srivastava,KXI,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,20
180,Thilan Thushara,CSK,SL,10,11,0,0,8,90.90909091,87,101,6.965517241,5,2,0.5,4,29
181,Thissara Perera,CSK,SL,0,0,0,0,0,#DIV/0!,6,19,19,0,0,0,1,21
182,Tillakaratne Dilshan,DD,SL,44,53,6,0,17,83.01886792,49,70,8.571428571,3,4,0,6,33
183,Tirumalasetti Suman,DC,IND,307,257,23,13,78,119.4552529,12,24,12,0,3,1,14,26
184,Umesh Yadav,DD,IND,3,4,0,0,3,75,144,184,7.666666667,6,1,0,7,22
185,Varun Aaron,KKR,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,20
186,Venugopal Rao,DC,IND,34,43,3,1,24,79.06976744,6,10,10,0,0,0,6,28
187,Vikramjeet Malik,KXI,IND,6,5,1,0,6,120,43,62,8.651162791,1,0,0,3,27
188,Vinay Kumar,RCB,IND,27,32,1,0,10,84.375,277,396,8.577617329,16,3,0.5,14,26
189,Virat Kohli,RCB,IND,307,212,26,12,58,144.8113208,32,50,9.375,0,3,2,16,21
190,Virender Sehwag,DD,IND,356,218,47,14,75,163.3027523,34,23,4.058823529,3,2,0,14,31
191,VRV Sing,KXI,,0,0,0,0,0,#DIV/0!,18,40,13.33333333,0,0,0,1,
192,VVS Laxman,DC,IND,64,60,7,1,22,106.6666667,0,0,#DIV/0!,0,2,0,6,35
193,VY Mahesh,DD,IND,0,0,0,0,0,#DIV/0!,18,23,7.666666667,1,0,0,1,22
194,Wayne Parnell,DD,SA,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,20
195,Wriddhiman Saha ,KKR,IND,67,53,9,1,22,126.4150943,0,0,#DIV/0!,0,6,0,13,25
196,XRCB,RCB,IND,1,2,0,0,1,50,48,81,10.125,2,0,0,2,
197,XDC,DC,,,,,,0,,,,,,0,0,0,
198,Y Nagar,DD,IND,1,6,0,0,1,16.66666667,18,28,9.333333333,1,2,0,1,20
199,YRCB,RCB,IND,0,0,0,0,0,#DIV/0!,24,17,4.25,1,0,0,1,
200,YDC,DC,,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,
201,Yusuf Abdulla,KXI,SA,0,1,0,0,0,0,41,66,9.658536585,1,0,0,2,27
202,Yusuf Pathan,RR,IND,333,201,22,24,100,165.6716418,204,246,7.235294118,5,9,1,14,27
203,Yuvraj Singh,KXI,IND,255,199,20,14,43,128.1407035,138,152,6.608695652,5,2,0,14,28
204,Zaheer Khan,MI,IND,24,13,3,1,23,184.6153846,290,376,7.779310345,15,4,0,14,31
